,type,words_per_comment,variance_of_word_counts,i-e,n-s,t-f,j-p,0,1
77,intj,22.26,138.26239999999999,0,0,0,0,11.768938,2.9592023
78,intj,32.54,29.529600000000006,0,0,0,0,12.133552,0.87482643
79,infp,33.46,55.8864,0,0,1,1,11.564268,3.8667073
80,infp,18.44,250.36360000000002,0,0,1,1,4.824946,2.6561239
81,infj,27.1,192.6736,0,0,1,0,11.772875,4.168349
82,entp,31.44,56.003600000000006,1,0,0,1,11.435679,3.0716836
83,entj,24.48,180.1284,1,0,0,0,7.8509803,1.8373133
84,infp,18.18,195.87686736079675,0,0,1,1,12.743385,5.2309194
85,intp,15.62,164.88979591836733,0,0,0,1,12.715112,3.296564
86,infp,26.12,155.21,0,0,1,1,10.605432,4.0978336
87,isfj,15.78,132.21165279429252,0,1,1,0,15.0925865,1.5177221
88,istj,16.8,205.6516,0,1,0,0,7.8030567,4.5039206
89,intp,29.02,118.48,0,0,0,1,7.664066,4.5400243
90,entp,27.1,135.2336,1,0,0,1,17.261168,6.797073
91,intp,29.98,101.7584,0,0,0,1,10.868825,2.0064182
92,isfp,20.26,109.53287197231835,0,1,1,1,11.887558,4.6654058
93,enfj,9.42,201.49584487534625,1,0,1,0,14.231899,5.55879
94,infj,17.58,173.3664,0,0,1,0,11.294308,4.7442784
95,infp,29.2,91.7876,0,0,1,1,11.309446,5.320981
96,infj,28.22,153.88000000000002,0,0,1,0,9.466247,3.4795685
97,intj,22.86,155.13440000000003,0,0,0,0,11.375734,1.6886979
98,infj,24.02,148.84,0,0,1,0,9.459789,6.8692923
99,enfp,23.66,168.0704,1,0,1,1,12.986609,5.111189
100,infp,25.1,267.3136,0,0,1,1,10.59515,5.038934
101,infp,22.48,227.9284,0,0,1,1,11.009738,4.8916354
102,enfp,20.04,161.09959999999998,1,0,1,1,13.249874,2.716203
103,infj,15.64,174.0356,0,0,1,0,12.923944,4.862697
104,istp,20.18,143.4144,0,1,0,1,14.667848,2.0157042
105,infj,29.76,142.75240000000002,0,0,1,0,10.421535,4.7362
106,istj,23.72,164.33,0,1,0,0,7.7667885,4.4723024
107,enfj,29.54,83.8096,1,0,1,0,8.525319,5.078042
108,intp,14.9,119.42560000000002,0,0,0,1,12.284257,3.031724
109,intj,23.24,153.3716,0,0,0,0,11.358927,2.258424
110,entp,31.9,74.97148030783158,1,0,0,1,9.425164,4.7895803
111,infp,31.08,70.0964,0,0,1,1,10.474705,5.068255
112,infp,29.88,155.8804,0,0,1,1,8.74309,2.8371844
113,estp,13.72,140.13,1,1,0,1,12.925755,2.9270012
114,istp,26.52,123.85,0,1,0,1,13.223622,2.6359425
115,enfp,26.12,142.81000000000003,1,0,1,1,10.183031,3.9138975
116,entp,25.54,127.08959999999999,1,0,0,1,9.373622,0.479365
117,intp,31.88,71.4804,0,0,0,1,10.452661,2.6822913
118,infj,22.08,227.7764,0,0,1,0,9.624015,3.068285
119,enfp,20.96,157.65640000000002,1,0,1,1,9.722476,5.9364867
120,entp,31.82,66.36000000000001,1,0,0,1,11.214227,3.2457368
121,intp,9.3,176.39506172839504,0,0,0,1,12.401777,3.1763706
122,infj,25.26,171.90240000000003,0,0,1,0,9.806041,3.7715156
123,istp,21.3,171.6016,0,1,0,1,11.910697,3.2369978
124,intp,18.18,146.8144,0,0,0,1,12.285971,2.3276083
125,intj,24.34,178.2976,0,0,0,0,11.883087,1.30053
126,entp,17.98,152.55839999999998,1,0,0,1,12.483971,2.9577427
127,infj,30.2,67.2676,0,0,1,0,11.718428,1.8740693
128,infj,21.54,176.24960000000002,0,0,1,0,9.340057,4.152474
129,infj,25.82,179.71999999999997,0,0,1,0,8.874656,2.8619678
130,entj,20.26,162.51473922902494,1,0,0,0,11.079379,0.29289138
131,isfj,33.44,80.92360000000001,0,1,1,0,15.620877,1.6578947
132,infp,29.76,53.592400000000005,0,0,1,1,11.639247,1.7905304
133,infj,19.2,151.7076,0,0,1,0,7.9114056,1.2132497
134,intp,32.02,91.96,0,0,0,1,10.811898,3.4774256
135,infj,22.0,173.33960000000002,0,0,1,0,8.527299,2.8346539
136,infp,26.94,156.9136,0,0,1,1,10.367638,3.6909847
137,intp,27.18,117.4944,0,0,0,1,10.179034,1.1760445
138,infp,23.62,209.92,0,0,1,1,10.950859,5.2539916
139,isfp,26.38,163.31040000000002,0,1,1,1,8.137272,1.5637572
140,intp,23.96,186.85640000000004,0,0,0,1,11.293405,3.2604513
141,infp,17.46,148.4064,0,0,1,1,12.741695,4.5031867
142,enfp,17.12,178.73,1,0,1,1,12.313399,5.1286564
143,enfp,26.18,162.9744,1,0,1,1,12.131149,4.07891
144,entp,28.58,94.20639999999999,1,0,0,1,9.761603,0.48837435
145,infj,25.52,186.65,0,0,1,0,12.258831,4.340837
146,infj,21.4,182.4513580246914,0,0,1,0,12.3338785,3.239406
147,entp,13.62,197.5582990397805,1,0,0,1,12.163031,3.8007152
148,infp,28.84,101.98760000000001,0,0,1,1,15.466959,1.579453
149,infp,12.1,143.55360000000002,0,0,1,1,12.148313,4.514553
150,intp,27.42,141.16000000000003,0,0,0,1,10.9901285,2.3049495
151,infj,32.66,79.7904,0,0,1,0,10.537474,4.0055246
152,enfp,26.12,199.28999999999996,1,0,1,1,7.17755,4.2825
153,enfp,23.96,172.97639999999996,1,0,1,1,15.347,4.0938535
154,intp,19.3,138.2816,0,0,0,1,12.805286,2.849138
155,entp,7.54,51.888888888888886,1,0,0,1,13.094213,5.297933
156,intj,28.14,121.90559999999999,0,0,0,0,11.879788,0.62968326
157,intp,13.82,60.34782608695652,0,0,0,1,13.197407,4.160336
158,entp,14.16,144.32039999999998,1,0,0,1,12.805567,3.4989417
159,enfp,13.84,269.50759999999997,1,0,1,1,12.0458555,3.2526336
160,estp,28.22,212.36,1,1,0,1,9.365023,2.8777866
161,intj,22.84,191.66760000000002,0,0,0,0,12.019507,2.8742223
162,intp,19.24,169.6516,0,0,0,1,11.698978,1.8572783
163,entp,25.56,228.48839999999996,1,0,0,1,9.32776,4.742028
164,infp,27.88,113.80040000000001,0,0,1,1,11.790657,4.8300653
165,infj,23.44,172.60360000000003,0,0,1,0,12.558019,5.0416937
166,infj,29.04,100.0196,0,0,1,0,12.167904,4.614265
167,intj,19.86,210.0379201378914,0,0,0,0,13.746605,5.327723
168,enfp,24.46,136.60639999999998,1,0,1,1,10.431557,4.8013163
169,intj,30.7,127.33760000000001,0,0,0,0,11.652839,3.5543275
170,intj,8.5,68.8096,0,0,0,0,8.171576,2.0615478
171,intp,21.5,216.00959999999998,0,0,0,1,11.199926,1.7406926
172,isfj,10.6,110.54024691358025,0,1,1,0,13.112621,3.4577065
173,intp,27.68,122.06439999999999,0,0,0,1,9.64691,1.551931
174,istp,23.84,193.06759999999994,0,1,0,1,11.462204,4.5793695
175,intp,16.16,227.08039999999997,0,0,0,1,12.956468,2.8535779
176,intp,23.3,129.46024878312605,0,0,0,1,11.169694,2.4810367
177,intp,23.64,213.59560000000002,0,0,0,1,10.115398,2.08489
178,intp,22.36,117.86439999999999,0,0,0,1,12.506504,2.9458315
179,infp,24.7,182.0176,0,0,1,1,10.992741,5.6380506
180,entp,28.2,107.2676,1,0,0,1,14.298598,3.5077267
181,infp,17.9,200.54559999999998,0,0,1,1,12.146859,4.7557626
182,intp,32.62,50.03999999999999,0,0,0,1,8.290935,5.2229967
183,intj,22.02,204.48,0,0,0,0,9.867233,1.1519666
184,entp,29.88,92.6804,1,0,0,1,11.407044,2.129346
185,infj,28.16,126.3204,0,0,1,0,10.797838,2.848134
186,intj,7.16,68.25,0,0,0,0,7.722164,1.8405734
187,intp,24.74,162.59212313263922,0,0,0,1,10.061319,1.655679
188,istp,24.42,135.88000000000002,0,1,0,1,12.275183,3.725769
189,istj,28.46,112.3664,0,1,0,0,10.250064,3.427326
190,infp,25.46,193.0864,0,0,1,1,11.394459,4.8816004
191,intj,24.38,176.35039999999998,0,0,0,0,10.750502,1.5079885
192,enfp,19.86,163.25439999999998,1,0,1,1,8.315022,1.6917272
193,infp,15.86,157.93439999999998,0,0,1,1,10.629353,4.6738114
194,intp,30.24,67.5716,0,0,0,1,10.338704,1.890892
195,intj,23.14,209.18560000000002,0,0,0,0,11.453578,2.5454407
196,intj,14.62,165.32,0,0,0,0,11.059086,3.2973566
197,infp,25.98,125.31839999999998,0,0,1,1,11.291002,4.896557
198,intp,30.9,33.58560000000001,0,0,0,1,10.2636595,2.2848964
199,intp,24.48,154.4484,0,0,0,1,11.831414,2.9059343
200,esfp,16.88,161.07155571377714,1,1,1,1,12.993521,2.8310063
201,intj,17.24,153.8516,0,0,0,0,12.49351,3.934052
202,isfp,26.48,125.9284,0,1,1,1,11.617415,4.6199346
203,infj,19.66,123.7104,0,0,1,0,9.01047,3.7591324
204,intj,9.22,156.76,0,0,0,0,10.09573,1.062995
205,intj,20.34,178.2576,0,0,0,0,12.809603,3.4199421
206,intp,28.88,116.0404,0,0,0,1,9.554977,1.0087782
207,intp,19.46,181.8826530612245,0,0,0,1,10.958052,1.5970107
208,infp,21.42,126.32000000000002,0,0,1,1,10.91167,3.8694367
209,enfp,17.66,135.3904,1,0,1,1,12.101997,5.4348364
210,infp,27.32,125.49,0,0,1,1,10.438407,5.9238315
211,infp,21.64,226.1956,0,0,1,1,12.745123,5.5209904
212,infp,24.72,163.25,0,0,1,1,11.877873,2.3338768
213,infp,10.26,148.94239999999996,0,0,1,1,11.238646,5.893712
214,intp,11.3,93.0816,0,0,0,1,12.868813,5.693314
215,intp,27.46,100.56639999999999,0,0,0,1,11.101592,1.8523852
216,infp,23.76,207.2324,0,0,1,1,11.555382,1.800557
217,infp,25.96,162.17640000000003,0,0,1,1,10.848408,5.8527217
218,infp,16.06,186.4784,0,0,1,1,12.03946,5.081052
219,infj,21.14,144.66666666666666,0,0,1,0,9.448639,3.818275
220,enfp,21.84,158.5476,1,0,1,1,7.750996,2.03727
221,intj,21.12,165.58106575963717,0,0,0,0,14.60029,1.6463457
222,infj,27.32,117.77,0,0,1,0,11.646578,1.9359488
223,infj,20.08,208.57640000000004,0,0,1,0,9.666572,2.799992
224,entp,12.14,131.34560000000002,1,0,0,1,13.423925,4.0766006
225,intp,18.62,139.6,0,0,0,1,12.688038,5.990777
226,intp,29.74,86.52159999999999,0,0,0,1,11.50636,4.0589185
227,infp,16.86,143.2944,0,0,1,1,14.266182,5.5157104
228,infp,24.3,142.20159999999998,0,0,1,1,8.550026,1.877248
229,infj,24.58,141.7664,0,0,1,0,12.341012,3.8996243
230,intp,26.12,147.57000000000002,0,0,0,1,8.454297,1.8178332
231,infp,29.94,96.99359999999999,0,0,1,1,9.818118,4.828361
232,intp,17.66,193.99039999999997,0,0,0,1,12.758608,4.3584514
233,infp,31.7,93.61760000000002,0,0,1,1,10.523266,6.2187266
234,infj,15.84,238.70759999999999,0,0,1,0,9.192531,4.1094704
235,enfj,28.76,47.31238185255199,1,0,1,0,13.570403,4.7157106
236,istp,10.2,124.3876,0,1,0,1,13.658288,3.5792446
237,intj,27.96,103.89640000000003,0,0,0,0,12.212904,0.8102013
238,infp,29.46,116.64639999999997,0,0,1,1,13.485799,5.164419
239,isfp,29.18,61.75413223140495,0,1,1,1,7.1301594,4.247626
240,entj,25.08,121.4164,1,0,0,0,11.17947,0.22962117
241,entp,22.36,142.14440000000002,1,0,0,1,9.463906,0.5153953
242,isfp,31.18,77.4944,0,1,1,1,7.65767,2.5233974
243,enfp,26.18,136.93439999999998,1,0,1,1,9.380874,7.027767
244,infp,29.16,131.1604,0,0,1,1,10.46726,1.8269582
245,enfp,25.24,197.5716,1,0,1,1,11.086898,4.861726
246,entp,23.82,216.71999999999997,1,0,0,1,11.50301,5.954088
247,infp,29.64,112.3556,0,0,1,1,10.826958,5.2206264
248,infp,26.1,191.11360000000002,0,0,1,1,10.665833,5.3611484
249,isfp,33.28,61.872400000000006,0,1,1,1,9.001163,4.2293906
250,infp,33.62,12.84,0,0,1,1,11.104352,0.2721579
251,infj,23.8,184.0116,0,0,1,0,9.673371,4.548839
252,entp,28.14,103.46560000000001,1,0,0,1,11.048721,0.6368569
253,infp,28.78,131.2224,0,0,1,1,7.976002,1.3728185
254,istp,21.46,151.56640000000002,0,1,0,1,12.301314,3.2561703
255,intj,25.24,163.3316,0,0,0,0,10.796911,3.484622
256,intp,33.32,81.69,0,0,0,1,14.573396,1.7085414
257,infj,23.52,153.16115311909263,0,0,1,0,9.099017,3.9454393
258,istj,26.44,120.0036,0,1,0,0,11.085086,2.9103568
259,intj,12.92,111.57,0,0,0,0,12.202106,2.1362333
260,infp,26.26,158.9424,0,0,1,1,11.377929,2.7771535
261,infj,10.5,95.68960000000001,0,0,1,0,12.291394,3.707488
262,intj,25.44,138.80360000000002,0,0,0,0,11.835493,1.0038743
263,enfj,30.66,71.51039999999999,1,0,1,0,8.472202,5.028116
264,infp,28.86,162.2944,0,0,1,1,10.323592,4.1813307
265,infp,25.4,158.87559999999996,0,0,1,1,10.986877,1.679637
266,istj,28.74,94.52159999999998,0,1,0,0,12.691926,5.837408
267,istj,31.84,67.3876,0,1,0,0,9.09334,1.6229367
268,isfp,12.04,178.33960000000002,0,1,1,1,12.917895,4.171018
269,infp,29.44,133.6036,0,0,1,1,10.4961195,3.96376
270,infj,29.64,132.75560000000002,0,0,1,0,8.452399,5.1402397
271,infp,26.6,83.68360000000001,0,0,1,1,10.88096,1.5662279
272,intp,16.36,168.06440000000003,0,0,0,1,10.586764,1.8288763
273,infp,25.56,153.20839999999998,0,0,1,1,12.39164,3.3590841
274,intp,25.08,226.5764,0,0,0,1,10.7099,2.3593423
275,intj,7.28,60.20408163265307,0,0,0,0,13.718791,3.112335
276,intj,27.26,147.6224,0,0,0,0,8.493115,2.1742282
277,infj,30.5,117.52960000000002,0,0,1,0,9.728834,3.6549296
278,infp,31.2,54.3876,0,0,1,1,8.826565,0.8901663
279,intp,28.34,144.1776,0,0,0,1,12.072022,4.2405024
280,intj,22.98,174.0784,0,0,0,0,8.391495,1.925125
281,enfp,30.44,87.76360000000001,1,0,1,1,9.705199,5.857047
282,infp,18.7,136.3776,0,0,1,1,7.67774,1.8643361
283,intp,27.3,109.0016,0,0,0,1,10.768609,2.0834181
284,entj,32.92,32.33,1,0,0,0,8.363859,1.0644213
285,intj,18.24,233.1316,0,0,0,0,12.132355,0.8250402
286,infj,23.7,160.21759999999998,0,0,1,0,11.907927,0.71605694
287,infp,25.04,158.1396,0,0,1,1,10.648401,6.019938
288,entj,30.24,126.21159999999998,1,0,0,0,11.118908,0.0
289,intp,26.56,166.8884,0,0,0,1,11.466117,3.9867043
290,intp,26.86,121.4544,0,0,0,1,10.40864,3.4339395
291,infp,29.0,120.61959999999998,0,0,1,1,11.422571,4.808984
292,intp,25.72,109.13,0,0,0,1,11.704195,3.229364
293,entp,21.86,246.4671201814059,1,0,0,1,11.44335,3.4840298
294,intj,27.0,144.45960000000002,0,0,0,0,12.117022,0.6441901
295,intp,31.68,93.34440000000002,0,0,0,1,10.318714,2.483313
296,intj,23.8,150.4916,0,0,0,0,11.218456,1.8408309
297,infp,11.6,124.64455782312928,0,0,1,1,13.158279,3.790132
298,infj,17.34,98.2176,0,0,1,0,15.182807,3.948152
299,infj,28.42,96.00000000000001,0,0,1,0,9.309003,3.006705
300,infp,32.9,46.54559999999999,0,0,1,1,10.507314,4.474178
301,enfp,28.96,95.33640000000001,1,0,1,1,11.360522,2.2034855
302,intp,29.22,146.56000000000003,0,0,0,1,15.621385,1.5416812
303,istp,28.08,124.29639999999999,0,1,0,1,12.118537,4.777772
304,intj,26.18,147.09440000000004,0,0,0,0,9.2821245,7.1718955
305,enfp,16.24,175.65160000000003,1,0,1,1,12.557786,4.2688675
306,enfp,24.92,224.29,1,0,1,1,10.2938595,4.601592
307,entp,25.24,150.45159999999998,1,0,0,1,12.838644,2.6335266
308,intp,22.02,229.68,0,0,0,1,10.688095,2.463114
309,infj,28.8,126.8116,0,0,1,0,9.94789,3.0457637
310,intj,28.0,121.05959999999997,0,0,0,0,11.348929,1.9463379
311,infp,32.84,45.787600000000005,0,0,1,1,10.301233,4.478388
312,enfp,33.2,81.26760000000002,1,0,1,1,10.290274,3.2859566
313,enfj,22.56,169.0884,1,0,1,0,7.8858075,1.6746259
314,entp,28.26,139.8624,1,0,0,1,11.313286,3.0931005
315,isfp,27.68,118.82439999999998,0,1,1,1,10.19182,3.9420204
316,infp,32.36,53.464400000000005,0,0,1,1,11.209805,5.4901986
317,infp,23.58,183.6464,0,0,1,1,14.7906475,1.2073829
318,infp,24.92,150.21,0,0,1,1,12.584823,5.0294447
319,intj,33.88,39.0804,0,0,0,0,11.970069,0.93698406
320,entp,28.32,138.49,1,0,0,1,9.547203,1.236527
321,entp,23.76,188.31240000000003,1,0,0,1,9.497081,0.6883768
322,intp,21.42,196.76,0,0,0,1,10.5667095,1.7368544
323,intp,29.58,107.3664,0,0,0,1,11.301036,2.7142377
324,infj,27.24,133.4916,0,0,1,0,12.251665,0.72779214
325,infj,18.56,161.8484,0,0,1,0,15.162013,1.5905075
326,intp,27.86,123.1344,0,0,0,1,10.269199,2.107979
327,enfp,11.9,218.5969387755102,1,0,1,1,13.028953,3.2448344
328,infp,35.04,38.9396,0,0,1,1,10.294177,4.208119
329,intj,31.24,132.17159999999998,0,0,0,0,12.577868,1.1054736
330,intj,27.58,94.16640000000001,0,0,0,0,12.150718,0.84042025
331,infp,26.82,151.28,0,0,1,1,10.8144,6.0157814
332,infp,26.0,151.37959999999998,0,0,1,1,7.679246,4.5378757
333,infp,28.7,123.5376,0,0,1,1,10.816201,5.192705
334,isfp,27.1,125.51360000000001,0,1,1,1,13.6642685,4.943535
335,isfj,30.46,78.76639999999999,0,1,1,0,9.145585,1.9834074
336,infp,23.44,179.52360000000002,0,0,1,1,15.140134,3.6295445
337,intp,30.6,68.00359999999999,0,0,0,1,12.285318,3.1153276
338,infp,24.22,152.12,0,0,1,1,11.034419,4.4445066
339,intj,24.8,143.77159999999998,0,0,0,0,11.353507,1.6637546
340,intj,22.64,186.47560000000001,0,0,0,0,14.336256,5.6824055
341,entp,28.06,84.5984,1,0,0,1,9.575343,0.29340088
342,enfj,29.88,114.3204,1,0,1,0,10.97624,5.3887424
343,isfj,22.0,203.1796,0,1,1,0,10.737257,3.6664214
344,intp,30.38,82.1504,0,0,0,1,11.286485,2.8267996
345,isfp,32.28,123.79240000000001,0,1,1,1,10.1132,3.4273558
346,estp,20.26,108.5024,1,1,0,1,15.202433,2.0552979
347,infp,16.2,196.98760000000001,0,0,1,1,7.609129,2.513955
348,intp,22.74,186.96159999999998,0,0,0,1,11.545096,3.7110615
349,intj,25.34,124.58471074380168,0,0,0,0,11.970887,1.0866097
350,infp,30.9,44.625600000000006,0,0,1,1,11.539433,1.5685874
351,intj,20.3,164.8416,0,0,0,0,12.262136,0.7639445
352,infp,26.9,153.0256,0,0,1,1,11.687317,4.54475
353,infp,28.7,139.21759999999998,0,0,1,1,11.76109,4.829674
354,infj,24.66,161.1904,0,0,1,0,9.1222515,3.733991
355,infp,13.3,134.3922902494331,0,0,1,1,13.453466,5.114436
356,entp,15.86,214.92243767313016,1,0,0,1,12.535827,3.3092203
357,intp,26.46,160.1264,0,0,0,1,10.910493,2.996982
358,intp,22.74,172.9216,0,0,0,1,10.39077,3.0333478
359,infj,26.38,162.7104,0,0,1,0,9.1728325,3.422797
360,enfp,28.58,139.4464,1,0,1,1,9.91701,3.983251
361,intj,28.38,146.63039999999998,0,0,0,0,10.652553,2.85266
362,entp,18.38,201.0704,1,0,0,1,10.003102,0.42799652
363,enfp,29.46,112.88640000000001,1,0,1,1,8.87889,1.3424206
364,infj,33.8,65.6116,0,0,1,0,9.922209,3.315361
365,istj,35.32,20.69,0,1,0,0,11.010632,3.431754
366,infp,26.96,166.73640000000003,0,0,1,1,9.835073,4.962793
367,infp,28.42,137.52,0,0,1,1,11.782398,3.1106377
368,infp,28.14,119.90559999999999,0,0,1,1,10.302078,4.615644
369,intj,28.02,163.32,0,0,0,0,11.556321,1.3439529
370,intj,29.22,86.39999999999998,0,0,0,0,11.24352,1.7058122
371,infp,29.98,99.5584,0,0,1,1,10.944147,3.4004004
372,infj,31.34,105.1376,0,0,1,0,10.233131,4.0326276
373,infp,31.24,76.3316,0,0,1,1,10.353451,4.6631746
374,infp,15.44,152.11019283746558,0,0,1,1,13.015755,4.5575557
375,entp,15.04,174.56404320987656,1,0,0,1,8.2473755,1.4600239
376,intj,27.48,147.92839999999995,0,0,0,0,12.3034525,1.2942258
377,infp,28.94,137.6736,0,0,1,1,10.173773,5.874714
378,intj,25.66,173.71040000000002,0,0,0,0,14.020107,1.4728972
379,intj,5.54,62.44,0,0,0,0,13.42705,3.437327
380,infp,29.82,82.84,0,0,1,1,12.685658,5.655037
381,enfp,35.72,31.290000000000006,1,0,1,1,10.197906,5.7803135
382,istp,1.02,0.84,0,1,0,1,13.620989,3.5937953
383,infp,30.16,83.40039999999999,0,0,1,1,9.582786,4.4524174
384,isfp,3.88,184.41,0,1,1,1,13.446193,4.639213
385,infp,29.66,140.47039999999998,0,0,1,1,15.253167,2.2335863
386,enfp,22.38,202.3904,1,0,1,1,9.512551,6.0865693
387,entj,28.8,238.29488703923903,1,0,0,0,10.625158,0.46306384
388,enfp,32.58,273.30234159779616,1,0,1,1,8.8393755,1.4552865
389,infj,21.8,226.2916,0,0,1,0,11.559813,4.3035398
390,infj,24.46,140.5664,0,0,1,0,8.854434,2.9107032
391,isfp,16.62,211.68,0,1,1,1,14.621498,2.0351443
392,infp,21.36,112.34440000000001,0,0,1,1,15.269965,3.593971
393,intp,21.5,148.8896,0,0,0,1,11.98498,5.199831
394,estp,21.14,182.5856,1,1,0,1,8.34184,2.6474576
395,entp,23.48,160.2084,1,0,0,1,10.8192835,3.1163402
396,enfp,28.02,138.6,1,0,1,1,11.971853,5.0655074
397,infp,18.1,133.4736,0,0,1,1,12.305601,2.425246
398,infp,31.02,56.28,0,0,1,1,8.760261,2.339182
399,infj,26.32,166.97,0,0,1,0,9.273819,3.4039044
400,intj,31.76,51.59239999999999,0,0,0,0,10.124755,1.9640566
401,isfp,25.94,165.83359999999996,0,1,1,1,7.826837,1.2628307
402,infj,30.94,75.16493055555556,0,0,1,0,11.15464,3.026352
403,isfp,28.02,118.0,0,1,1,1,9.060464,3.030591
404,infp,23.6,129.49489795918367,0,0,1,1,11.710639,4.8284883
405,enfp,17.5,76.09693877551022,1,0,1,1,9.949229,5.7374353
