,words_per_comment,variance_of_word_counts,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP,I-E,N-S,T-F,J-P,0,1
15,24.24,134.57160000000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.8105154,4.504067
16,27.52,119.40441482715535,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.3877163,7.470548
17,32.74,57.1616,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.80829334,5.7580113
18,30.6,70.92360000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.1449308,5.4726043
19,22.78,170.8224,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4.9583826,7.4255133
20,21.7,150.6576,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.974703,7.1967297
21,22.02,167.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.427499,6.007694
22,23.84,157.7476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.496148,4.5084777
23,13.04,143.6875,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5.2729535,6.2642426
24,21.72,198.73000000000005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6873155,5.164559
25,21.94,186.9136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3.759932,5.2526455
26,35.16,47.9204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.7079818,6.0935793
27,18.1,170.27360000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3.3278005,4.9731917
28,29.08,93.19748263888887,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.3598299,6.460598
29,31.4,121.87559999999998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.2312791,5.744411
30,32.12,88.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.4700022,4.7686925
31,19.68,138.5844,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.6932063,3.686722
32,23.16,135.6404,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.5095267,6.5718656
33,27.32,143.41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.6406314,6.180158
34,20.54,176.6096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.2898631,5.1189914
35,7.14,79.82560000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.3182414,3.6386728
36,29.3,160.6816,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.6451404,7.565632
37,29.76,173.55239999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.3965535,4.3871837
38,27.88,105.6804,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.3343072,6.705735
39,33.12,39.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.86567163,7.3611283
40,31.34,111.2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5.028033,7.085817
41,28.26,139.3424,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.21681118,5.5906563
42,20.7,207.13760000000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.940085,5.003105
43,27.72,110.57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.0181575,6.110377
44,19.26,172.30239999999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.2479353,5.9176416
45,30.96,95.01640000000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.5004454,6.9940658
46,30.7,54.49759999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.655758,7.562935
47,29.84,111.58760000000002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3.6419964,5.0471606
48,32.7,75.57759999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.96953154,6.9029565
49,21.96,212.09639999999996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.36239576,6.0803304
50,29.64,85.7956,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.8782873,4.3794827
51,27.92,127.45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.8175683,5.34777
52,27.22,124.71999999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3.3161304,6.570346
53,29.24,130.8516,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.519784,3.8093858
54,25.42,103.89569160997735,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.4743104,5.43374
55,19.2,226.64476813317478,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.3964467,7.6173897
56,26.58,180.5264,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.8874803,6.5157614
57,25.58,176.9664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.4652357,4.318543
58,26.2,137.58759999999998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.26761675,6.7102423
59,23.92,163.81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0397074,8.080402
60,21.52,188.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.45253325,5.4022593
61,29.4,120.4756,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.5869424,7.6813626
62,20.9,84.82666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.2022219,6.8125377
63,31.86,81.49440000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4.4940367,6.513875
64,8.62,147.37109375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.21570492,5.300906
65,32.82,56.23999999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.4299223,7.123294
66,24.62,145.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2.1678166,4.364354
67,34.46,40.1664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5.188048,6.632883
68,27.16,127.20039999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.412372,5.1392245
69,24.12,139.42523948354852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.6975527,4.813684
70,34.14,86.50560000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.9022143,3.7968183
71,19.42,243.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.3866997,6.8143115
72,25.72,174.09000000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.5329871,6.6081095
73,20.54,181.68959999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2.5474768,6.6775284
74,27.7,129.2976,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.4227989,4.4694967
75,21.32,193.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.7502859,7.244329
76,31.36,69.1044,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.137848,7.9342346
77,22.26,138.26239999999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.198624,7.285955
78,32.54,29.529600000000006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.9575603,7.5478315
79,33.46,55.8864,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.5334244,6.687951
80,18.44,250.36360000000002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.3181243,5.8621917
81,27.1,192.6736,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.4091344,7.841565
82,31.44,56.003600000000006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.5054388,7.880837
83,24.48,180.1284,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.1612873,6.1763234
84,18.18,195.87686736079675,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2.771342,3.4786103
85,15.62,164.88979591836733,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.44946098,7.3038516
86,26.12,155.21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.3973336,6.180374
87,15.78,132.21165279429252,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2.9288082,3.8224812
88,16.8,205.6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.1762543,6.5802164
89,29.02,118.48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.8929014,7.4949703
90,27.1,135.2336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.1525702,6.692007
91,29.98,101.7584,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.4121583,8.203845
92,20.26,109.53287197231835,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1.1866221,6.6038694
93,9.42,201.49584487534625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.5813112,4.438046
94,17.58,173.3664,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.33780336,5.664187
95,29.2,91.7876,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.68150425,5.9770913
96,28.22,153.88000000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.9355407,6.2888813
97,22.86,155.13440000000003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.3338854,8.417763
98,24.02,148.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.7662511,5.1918707
99,23.66,168.0704,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.9739819,4.1280804
100,25.1,267.3136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3.663468,4.808611
101,22.48,227.9284,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.48760796,5.566287
102,20.04,161.09959999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.8863363,3.806559
103,15.64,174.0356,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.4578199,4.563314
104,20.18,143.4144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3.2954493,3.856963
105,29.76,142.75240000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.0022116,5.434668
106,23.72,164.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.3094547,7.3467197
107,29.54,83.8096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.0909915,6.035609
108,14.9,119.42560000000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5844288,5.255524
109,23.24,153.3716,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.8853405,8.053781
110,31.9,74.97148030783158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.6148312,5.8235073
111,31.08,70.0964,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.64169645,6.3992653
112,29.88,155.8804,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3.6815968,7.145379
113,13.72,140.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,3.1176126,3.969817
114,26.52,123.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2.8063726,3.4829164
115,26.12,142.81000000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2.8411977,4.7068586
116,25.54,127.08959999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5.9779296,6.0289536
117,31.88,71.4804,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.7732058,7.8765316
118,22.08,227.7764,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.8026245,5.83864
119,20.96,157.65640000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3.9816487,5.545662
120,31.82,66.36000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.3028426,8.132492
121,9.3,176.39506172839504,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.2247915,7.481193
122,25.26,171.90240000000003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.9441395,6.5618854
123,21.3,171.6016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.5102453,6.150364
124,18.18,146.8144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.840095,8.399088
125,24.34,178.2976,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.94239,7.8507996
126,17.98,152.55839999999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.4565492,7.6091995
127,30.2,67.2676,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.9117477,8.025009
128,21.54,176.24960000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.3585191,7.990515
129,25.82,179.71999999999997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.0922527,6.986781
130,20.26,162.51473922902494,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.97891,5.526126
131,33.44,80.92360000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2.4648705,3.462127
132,29.76,53.592400000000005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3.7622757,7.7169743
133,19.2,151.7076,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.1687946,6.6655536
134,32.02,91.96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.76308346,7.0170107
135,22.0,173.33960000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.190368,6.8653173
136,26.94,156.9136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3.1444824,6.810716
137,27.18,117.4944,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.3934069,5.769218
138,23.62,209.92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.0221009,4.9620304
139,26.38,163.31040000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,5.5873494,6.539623
140,23.96,186.85640000000004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.065274,7.949217
141,17.46,148.4064,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.1087852,4.6708717
142,17.12,178.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.6713002,4.2634163
143,26.18,162.9744,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.44864273,6.833375
144,28.58,94.20639999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.9347916,6.1248193
145,25.52,186.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.70974827,6.6615295
146,21.4,182.4513580246914,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9651532,6.795622
147,13.62,197.5582990397805,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.734097,6.5433435
148,28.84,101.98760000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2.6597762,3.3380659
149,12.1,143.55360000000002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.6818433,6.22553
150,27.42,141.16000000000003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.5498333,7.2206583
151,32.66,79.7904,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.1271963,6.5816107
152,26.12,199.28999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.697402,7.468575
153,23.96,172.97639999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7.2415447,7.9652133
154,19.3,138.2816,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.11868477,6.8499203
155,7.54,51.888888888888886,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5.2039757,6.616768
156,28.14,121.90559999999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.10831,6.8554974
157,13.82,60.34782608695652,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.2967343,5.1582813
158,14.16,144.32039999999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.99460745,4.701889
159,13.84,269.50759999999997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.8912749,7.339116
160,28.22,212.36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2.3616264,4.2694836
161,22.84,191.66760000000002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.2378623,7.7434006
162,19.24,169.6516,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.228918,5.830653
163,25.56,228.48839999999996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.2265909,5.470086
164,27.88,113.80040000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.7555902,5.02306
165,23.44,172.60360000000003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.1406279,6.152362
166,29.04,100.0196,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.3078501,7.26487
167,19.86,210.0379201378914,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.8980737,6.9429235
168,24.46,136.60639999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.4500027,7.470216
169,30.7,127.33760000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5242634,6.1793675
170,8.5,68.8096,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2369843,6.474796
171,21.5,216.00959999999998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0066493,8.300964
172,10.6,110.54024691358025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2.888818,4.2250943
173,27.68,122.06439999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.318202,7.494933
174,23.84,193.06759999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3.063087,6.815124
175,16.16,227.08039999999997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.931051,3.7588253
176,23.3,129.46024878312605,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.9697037,7.320623
177,23.64,213.59560000000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.9193475,7.122213
178,22.36,117.86439999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.208427,6.9719405
179,24.7,182.0176,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.0185537,5.0139785
180,28.2,107.2676,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.924603,7.023939
181,17.9,200.54559999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.4573498,4.225721
182,32.62,50.03999999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.4961407,6.8299584
183,22.02,204.48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.4589548,7.202548
184,29.88,92.6804,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.1709237,7.240694
185,28.16,126.3204,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.1067834,7.0159445
186,7.16,68.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.226342,6.3497677
187,24.74,162.59212313263922,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.4786441,7.5990343
188,24.42,135.88000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4.1857467,5.6590767
189,28.46,112.3664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.2294552,7.3981013
190,25.46,193.0864,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.8746939,5.9527106
191,24.38,176.35039999999998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.7026093,8.106904
192,19.86,163.25439999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6.1387334,6.4518404
193,15.86,157.93439999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.57014465,6.1701818
194,30.24,67.5716,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.7610464,7.108399
195,23.14,209.18560000000002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.7836847,7.3081446
196,14.62,165.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.248065,4.801353
197,25.98,125.31839999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.2767048,5.390072
198,30.9,33.58560000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.044983,6.895235
199,24.48,154.4484,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.2129412,7.7509375
200,16.88,161.07155571377714,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3.7158263,6.6220517
201,17.24,153.8516,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4202509,6.046158
202,26.48,125.9284,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1.0913634,4.500153
203,19.66,123.7104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.0001898,5.0176463
204,9.22,156.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.6165423,6.9604373
205,20.34,178.2576,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.737387,5.213019
206,28.88,116.0404,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.223763,6.89641
207,19.46,181.8826530612245,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.215949,6.576266
208,21.42,126.32000000000002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.36115742,6.428523
209,17.66,135.3904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3.6902046,4.311088
210,27.32,125.49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.8887982,8.094025
211,21.64,226.1956,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.2178197,4.8444357
212,24.72,163.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3.8543167,7.7879095
213,10.26,148.94239999999996,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.0232382,5.4120464
214,11.3,93.0816,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.7617736,4.527592
215,27.46,100.56639999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.446555,8.347121
